CaseID,Duration,horizon,other,casualties,Scenarios,Pol1,P1,Pol2,P2,Pol3,P3,Pol4,P4,Pol5,P5,Pol6,P6,Pol7,P7,P1_conf,P2_conf,P3_conf,P4_conf,P5_conf,P6_conf,P7_conf,t_screen,t_select,Pol_select,P1_support,P2_support,P3_support,P4_support,P5_support,P6_support,P7_support,choice_factor,FactSuccess_rate,FactCas_rate,FactOther_rate,SetA_2,SetA_3,SetB_2,SetB_3,Important,Costs,TimeFrames,TF_MC,FMC1,FMC2,reward,reward_b,T1,T10,Sex,Gender,Age,ethnic,race,party,Know,FP_Know,educ,Edu_cat,inc,Income,Scenarios_DO
321,298,0,1,2,t_AllSet|S3,Accept,1,Reject,0,Reject,0,Accept,1,Reject,0,Reject,0,Reject,0,7,6,7,3,6,3,7,132.179,39.196,1,7,,,3,,,,1,6,6,6,1,1,0,2,5,5,In the long run (next year),1,An American military base,Kenya,A reward of $3800 next month,1,150,200,Male,0,19,Hispanic/Latino,2,3,Somewhat Informed,2,Some college,3,"More than $100,000",5,t_AllSet|S3
322,324,0,1,2,t_AllSet|S3,Accept,1,Reject,0,Reject,0,Accept,1,Reject,0,Accept,1,Reject,0,6,7,6,4,6,2,7,123.891,30.086,1,7,,,4,,2,,1,7,7,4,1,1,0,2,7,5,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,300,700,Female,1,38,White/Caucasian,4,6,Well Informed,3,Bachelor's degree,4,"$25,000 - $50,000",2,t_AllSet|S3
323,268,0,1,2,t_AllSet|S3,Accept,1,Reject,0,Reject,0,Accept,1,Reject,0,Reject,0,Reject,0,7,3,3,5,2,3,1,63.03,24.111,1,5,,,3,,,,1,7,1,1,1,1,0,2,7,7,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,110,1000,Male,0,23,White/Caucasian,4,4,Very Informed,4,Bachelor's degree,4,"$50,001 - $75,000",3,t_AllSet|S3
324,420,0,1,2,t_AllSet|S3,Accept,1,Reject,0,Reject,0,Accept,1,Reject,0,Accept,1,Reject,0,7,5,5,6,5,5,6,119.427,69.432,1,7,,,6,,5,,1,7,7,7,1,1,0,2,6,5,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,200,1000,Female,1,60,White/Caucasian,4,5,Somewhat Informed,2,Some college,3,"Less than $25,000",1,t_AllSet|S3
325,406,0,1,2,t_AllSet|S3,Accept,1,Reject,0,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,6,6,7,6,7,6,7,117.303,65.824,1,7,,2,,,,,3,6,6,6,1,1,0,2,5,5,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,200,1000,Female,1,27,White/Caucasian,4,2,Somewhat Informed,2,Bachelor's degree,4,"More than $100,000",5,t_AllSet|S3
326,336,0,1,2,t_AllSet|S3,Accept,1,Reject,0,Reject,0,Accept,1,Reject,0,Accept,1,Reject,0,6,7,5,6,5,4,6,109.012,33.123,1,7,,,6,,5,,1,6,6,7,1,1,0,2,1,7,In the short term (this month),0,An American military base,Afghanistan,A reward of $3400 this month,0,400,1000,Female,1,20,White/Caucasian,4,1,Well Informed,3,Some college,3,"Less than $25,000",1,t_AllSet|S3
327,251,0,1,2,t_AllSet|S3,Reject,0,Reject,0,Reject,0,Accept,1,Accept,1,Accept,1,Reject,0,5,5,5,5,5,5,6,76.57,46.917,4,,,,6,3,5,,1,5,5,5,1,1,0,2,6,5,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,500,2000,Female,1,33,White/Caucasian,4,4,Somewhat Informed,2,Bachelor's degree,4,"$50,001 - $75,000",3,t_AllSet|S3
328,406,0,1,2,t_AllSet|S3,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,7,5,7,5,7,7,7,144.302,42.933,1,7,,,,,,,1,7,6,7,1,1,0,2,7,6,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,200,5000,Female,1,56,White/Caucasian,4,6,Somewhat Informed,2,Bachelor's degree,4,"More than $100,000",5,t_AllSet|S3
329,573,0,1,2,t_AllSet|S3,Accept,1,Accept,1,Accept,1,Accept,1,Reject,0,Reject,0,Reject,0,7,6,5,4,5,6,7,112.107,85.583,1,7,6,5,4,,,,1,7,4,4,1,1,0,2,7,4,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,200,10000,Female,1,53,White/Caucasian,4,2,Well Informed,3,Bachelor's degree,4,"$25,000 - $50,000",2,t_AllSet|S3
330,392,0,1,2,t_AllSet|S3,Accept,1,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,Reject,0,6,7,7,5,7,6,7,100.8,39.441,1,5,,,,,,,1,6,7,4,1,1,0,2,6,7,In the short term (this month),0,An American military base,Afghanistan,A reward of $3800 next month,1,1000,10000,Female,1,33,White/Caucasian,4,5,Somewhat Informed,2,Masters degree or higher,5,"More than $100,000",5,t_AllSet|S3
